Model,Readout Train Data,Readout Test Data,Train Accuracy,Test Accuracy,Readout Type,Predicted Prob,Predicted Outcome,Actual Outcome,Stimulus Name,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.98204819 0.01795181],0,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.43043063 0.56956937],1,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.61310133 0.38689867],0,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.41730692 0.58269308],1,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.27676725 0.72323275],1,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.78379727 0.21620273],0,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.46490336 0.53509664],1,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.78796648 0.21203352],0,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.68097805 0.31902195],0,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.32619725 0.67380275],1,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.59698137 0.40301863],0,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.34741044 0.65258956],1,0,pilot_it2_rollingSliding_simple_collision_box-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.44357119 0.55642881],1,1,pilot_it2_rollingSliding_simple_collision_box-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.32022968 0.67977032],1,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.46911774 0.53088226],1,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.7844776 0.2155224],0,1,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.47360552 0.52639448],1,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0003,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.672092 0.327908],0,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0004,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.81948171 0.18051829],0,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0005,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.8311032 0.1688968],0,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0006,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.73063279 0.26936721],0,1,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0007,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.60979561 0.39020439],0,1,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0008,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.83457373 0.16542627],0,1,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0009,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.45508317 0.54491683],1,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0010,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.80791915 0.19208085],0,1,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0011,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.35576384 0.64423616],1,0,pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ-redyellow_0012,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.48536526 0.51463474],1,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0000,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.29087533 0.70912467],1,0,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0001,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
CSWM,rollslide,rollslide,0.7257257257257257,0.49224806201550386,A,[0.86348909 0.13651091],0,1,pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ-redyellow_0002,CSWM encoder,CSWM dynamics,null,null,null,Contrastive,all,0,Contrastive,all,0
