stim_ID,correct,c
pilot-containment-bowl_0001_img,0.53,100
pilot-containment-bowl_0002_img,0.95,100
pilot-containment-bowl_0003_img,0.94,100
pilot-containment-bowl_0005_img,0.95,100
pilot-containment-bowl_0007_img,0.76,100
pilot-containment-bowl_0008_img,0.95,100
pilot-containment-bowl_0009_img,0.98,100
pilot-containment-bowl_0010_img,0.98,100
pilot-containment-bowl_0013_img,0.99,100
pilot-containment-bowl_0014_img,0.79,100
pilot-containment-bowl_0015_img,0.45,100
pilot-containment-bowl_0016_img,0.99,100
pilot-containment-bowl_0018_img,0.92,100
pilot-containment-bowl_0019_img,0.94,100
pilot-containment-bowl_0020_img,0.86,100
pilot-containment-bowl_0021_img,0.7,100
pilot-containment-bowl_0022_img,0.74,100
pilot-containment-bowl_0023_img,0.99,100
pilot-containment-bowl_0024_img,0.97,100
pilot-containment-bowl_0025_img,0.94,100
pilot-containment-bowl_0026_img,0.97,100
pilot-containment-bowl_0027_img,0.54,100
pilot-containment-bowl_0028_img,0.97,100
pilot-containment-bowl_0029_img,0.96,100
pilot-containment-bowl_0030_img,0.2,100
pilot-containment-bowl_0031_img,0.45,100
pilot-containment-bowl_0032_img,0.79,100
pilot-containment-bowl_0033_img,0.79,100
pilot-containment-bowl_0034_img,0.65,100
pilot-containment-box_0000_img,0.46,100
pilot-containment-box_0002_img,0.77,100
pilot-containment-box_0003_img,0.96,100
pilot-containment-box_0004_img,0.93,100
pilot-containment-box_0006_img,0.73,100
pilot-containment-box_0007_img,0.92,100
pilot-containment-box_0008_img,0.99,100
pilot-containment-box_0011_img,0.88,100
pilot-containment-box_0012_img,0.98,100
pilot-containment-box_0013_img,0.47,100
pilot-containment-box_0014_img,0.12,100
pilot-containment-box_0015_img,0.7,100
pilot-containment-box_0016_img,0.97,100
pilot-containment-box_0017_img,0.38,100
pilot-containment-box_0018_img,0.43,100
pilot-containment-box_0019_img,0.66,100
pilot-containment-box_0020_img,0.79,100
pilot-containment-box_0021_img,0.49,100
pilot-containment-box_0022_img,0.24,100
pilot-containment-box_0023_img,0.72,100
pilot-containment-box_0024_img,0.82,100
pilot-containment-cone-plate_0000_img,0.96,100
pilot-containment-cone-plate_0001_img,0.64,100
pilot-containment-cone-plate_0002_img,0.62,100
pilot-containment-cone-plate_0003_img,0.97,100
pilot-containment-cone-plate_0004_img,0.92,100
pilot-containment-cone-plate_0005_img,0.08,100
