stim_ID,correct,c
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0001_img,0.72,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0004_img,0.99,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0005_img,0.98,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0007_img,0.96,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0008_img,0.32,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0012_img,0.96,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0013_img,0.96,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0016_img,0.99,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0017_img,0.94,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0018_img,0.82,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0019_img,0.82,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0020_img,0.94,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0021_img,0.97,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0022_img,0.69,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0025_img,0.35,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0026_img,0.99,100
pilot_dominoes_0mid_d3chairs_o1plants_tdwroom-redyellow_0027_img,0.96,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0000_img,0.37,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0003_img,0.83,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0004_img,0.47,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0005_img,0.35,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0006_img,0.7,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0007_img,0.91,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0009_img,0.29,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0010_img,0.8,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0015_img,0.38,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0017_img,0.63,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0019_img,0.53,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0020_img,0.55,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0022_img,0.37,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0023_img,0.61,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0025_img,0.91,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0026_img,0.75,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0027_img,0.66,100
pilot_dominoes_1mid_J025R45_boxroom-redyellow_0029_img,0.49,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0000_img,0.34,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0001_img,0.93,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0002_img,0.86,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0003_img,0.76,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0004_img,0.74,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0005_img,0.74,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0006_img,0.29,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0007_img,0.94,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0008_img,0.83,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0009_img,0.99,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0010_img,0.56,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0014_img,0.77,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0015_img,0.84,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0017_img,0.42,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0020_img,0.29,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0021_img,0.62,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0023_img,0.76,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0024_img,0.69,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0025_img,0.96,100
pilot_dominoes_1mid_J025R45_o1full_tdwroom-redyellow_0026_img,0.77,100
