stim_ID,correct,c
pilot_it2_rollingSliding_simple_collision_box_0000_img,0.99,100
pilot_it2_rollingSliding_simple_collision_box_0002_img,0.76,100
pilot_it2_rollingSliding_simple_collision_box_0003_img,0.97,100
pilot_it2_rollingSliding_simple_collision_box_0004_img,0.97,100
pilot_it2_rollingSliding_simple_collision_box_0005_img,0.53,100
pilot_it2_rollingSliding_simple_collision_box_0006_img,0.85,100
pilot_it2_rollingSliding_simple_collision_box_0007_img,0.97,100
pilot_it2_rollingSliding_simple_collision_box_0009_img,0.92,100
pilot_it2_rollingSliding_simple_collision_box_0010_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_0011_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_0012_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0000_img,0.97,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0001_img,0.91,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0002_img,0.94,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0003_img,0.94,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0004_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0005_img,0.92,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0006_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0007_img,0.87,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0008_img,0.73,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0009_img,0.99,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0010_img,0.98,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0011_img,0.96,100
pilot_it2_rollingSliding_simple_collision_box_1_dis_1_occ_0012_img,0.87,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0000_img,0.96,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0001_img,0.99,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0002_img,0.33,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0003_img,0.94,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0004_img,0.9,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0005_img,0.95,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0006_img,0.97,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0008_img,0.99,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0009_img,0.86,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0010_img,0.99,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0011_img,0.89,100
pilot_it2_rollingSliding_simple_collision_box_2_dis_2_occ_0012_img,0.96,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0000_img,0.99,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0001_img,0.94,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0002_img,0.78,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0003_img,0.97,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0004_img,0.89,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0005_img,0.98,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0006_img,0.94,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0007_img,1.0,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0009_img,0.98,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0010_img,0.96,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0011_img,1.0,100
pilot_it2_rollingSliding_simple_collision_tdw_1_dis_1_occ_0012_img,0.97,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0001_img,0.99,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0004_img,0.64,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0005_img,0.96,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0006_img,0.99,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0007_img,0.98,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0008_img,0.98,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0009_img,0.93,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0010_img,0.97,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0011_img,0.65,100
pilot_it2_rollingSliding_simple_collision_tdw_2_dis_2_occ_0012_img,0.97,100
pilot_it2_rollingSliding_simple_ledge_box_0000_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_box_0002_img,0.96,100
pilot_it2_rollingSliding_simple_ledge_box_0003_img,0.99,100
