stim_ID,correct,c
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0001_img,0.63,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0002_img,0.98,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0008_img,0.97,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0009_img,0.96,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0012_img,0.98,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0014_img,0.9,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0015_img,0.64,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0016_img,0.95,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0017_img,0.95,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0018_img,0.96,100
pilot_towers_nb2_fr015_SJ010_mono0_dis0_occ0_tdwroom_0019_img,0.96,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0001_img,0.82,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0002_img,0.95,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0003_img,0.95,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0005_img,0.98,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0009_img,0.99,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0011_img,0.85,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0012_img,0.4,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0014_img,0.95,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0015_img,0.97,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0016_img,0.98,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0017_img,0.99,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0018_img,0.88,100
pilot_towers_nb2_fr015_SJ010_mono1_dis1_occ1_tdwroom_0019_img,0.49,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0000_img,0.76,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0002_img,0.9,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0005_img,0.93,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0006_img,0.82,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0007_img,0.87,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0008_img,0.97,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0009_img,0.96,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0010_img,0.68,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0012_img,1.0,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0013_img,0.91,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0014_img,1.0,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0015_img,0.99,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0016_img,0.53,100
pilot_towers_nb3_fr015_SJ025_mono1_dis0_occ0_tdwroom_0018_img,0.98,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0000_img,0.98,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0001_img,1.0,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0002_img,0.94,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0003_img,0.98,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0004_img,0.85,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0005_img,0.9,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0007_img,0.27,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0008_img,0.61,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0009_img,0.99,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0010_img,0.94,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0011_img,0.93,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0013_img,0.98,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0014_img,0.69,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0016_img,0.75,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0018_img,0.96,100
pilot_towers_nb4_SJ025_mono1_dis0_occ0_tdwroom_0019_img,0.97,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0001_img,1.0,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0002_img,0.64,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0005_img,0.49,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0006_img,0.56,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0008_img,0.59,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0009_img,0.9,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0011_img,0.64,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0013_img,0.85,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0014_img,0.33,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0017_img,0.78,100
pilot_towers_nb4_SJ025_mono1_dis1_occ1_boxroom_0019_img,0.2,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0000_img,0.98,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0001_img,0.17,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0004_img,0.24,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0007_img,0.5,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0008_img,0.96,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0009_img,1.0,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0010_img,0.76,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0011_img,0.96,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0013_img,0.96,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0014_img,0.93,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0016_img,0.98,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0018_img,0.93,100
pilot_towers_nb4_fr015_SJ000_gr-01_mono1_dis1_occ1_boxroom_0019_img,0.9,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0001_img,0.6,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0002_img,0.96,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0003_img,0.27,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0005_img,0.24,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0007_img,0.14,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0008_img,0.98,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0010_img,0.68,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0011_img,0.87,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0012_img,0.9,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0013_img,0.95,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0014_img,0.29,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0017_img,0.71,100
pilot_towers_nb4_fr015_SJ000_gr000sph_mono1_dis0_occ0_tdwroom_0018_img,0.79,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0000_img,0.31,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0001_img,0.53,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0002_img,0.95,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0006_img,0.19,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0007_img,0.3,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0009_img,0.19,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0010_img,0.54,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0011_img,0.72,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0012_img,0.94,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0014_img,0.65,100
pilot_towers_nb4_fr015_SJ000_gr015sph_mono1_dis0_occ0_tdwroom_0015_img,0.08,100
