scenario,Cohens_k_lb,Cohens_k_med,Cohens_k_ub,num_datapoints,Model,Readout Train Data,Readout Type,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed,ModelID,Model Kind,Visual encoder architecture,Dynamics model architecture,ObjectCentric,Supervised,SelfSupervisedLossSelfSupervisedLoss,Encoder Training Dataset Type,Dynamics Training Dataset Type,Readout Train Data Type
clothiness,-0.056090277286622,0.05953401387049029,0.17011265964541705,75,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,-0.08997407384598484,0.05610859728506801,0.1503147283792085,75,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,-0.08997407384598484,0.03672819263562266,0.14616726185532758,75,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,-0.06050394984583709,0.060924369747899165,0.16109916861840826,75,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,-0.12667682374387257,0.00484221071965274,0.10961612578745798,75,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,-0.11371317001459286,0.005597416576964553,0.1054011053424885,75,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,0.04636942190923816,0.1764266507319988,0.28848573192260696,75,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,-0.052583637783871984,0.02840553818669045,0.15693430107444303,75,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,-0.040844998227346836,0.04168362777822998,0.15633478257163014,75,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,0.018801741590580637,0.09038293823832555,0.17681171465657647,75,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_A_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
