scenario,ratio,diff,human_correct,model_correct,Model,Readout Train Data,Readout Type,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed,ModelID,Model Kind,Visual encoder architecture,Dynamics model architecture,ObjectCentric,Supervised,SelfSupervisedLossSelfSupervisedLoss,Encoder Training Dataset Type,Dynamics Training Dataset Type,Readout Train Data Type
clothiness,1.0188905148330452,0.012792792792792773,0.6772072072072072,0.69,CSWM,clothiness,A,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_A_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.7973925768258615,-0.13720720720720714,0.6772072072072072,0.54,CSWM,clothiness,B,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_B_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.7457097246241853,-0.17220720720720717,0.6772072072072072,0.505,CSWM,clothiness,C,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_C_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.8786084874284954,-0.0822072072072072,0.6772072072072072,0.595,CSWM,clothiness,A,CSWM encoder,CSWM dynamics,,,,Contrastive,clothiness,0.0,Contrastive,clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_clothiness_Contrastive_0_clothiness_readout_A_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
clothiness,0.790009312225622,-0.14220720720720714,0.6772072072072072,0.535,CSWM,clothiness,B,CSWM encoder,CSWM dynamics,,,,Contrastive,clothiness,0.0,Contrastive,clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_clothiness_Contrastive_0_clothiness_readout_B_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
clothiness,0.7826260476253826,-0.14720720720720715,0.6772072072072072,0.53,CSWM,clothiness,C,CSWM encoder,CSWM dynamics,,,,Contrastive,clothiness,0.0,Contrastive,clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_clothiness_Contrastive_0_clothiness_readout_C_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
clothiness,0.9745909272316085,-0.017207207207207142,0.6772072072072072,0.66,CSWM,clothiness,A,CSWM encoder,CSWM dynamics,,,,Contrastive,no_clothiness,0.0,Contrastive,no_clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_no_clothiness_Contrastive_0_no_clothiness_readout_A_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.6792603432220301,-0.21720720720720715,0.6772072072072072,0.46,CSWM,clothiness,B,CSWM encoder,CSWM dynamics,,,,Contrastive,no_clothiness,0.0,Contrastive,no_clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_no_clothiness_Contrastive_0_no_clothiness_readout_B_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.6497272848210722,-0.23720720720720717,0.6772072072072072,0.44,CSWM,clothiness,C,CSWM encoder,CSWM dynamics,,,,Contrastive,no_clothiness,0.0,Contrastive,no_clothiness,0,CSWM_CSWM encoder_0.0_Contrastive_no_clothiness_Contrastive_0_no_clothiness_readout_C_clothiness_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenLSTM,clothiness,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_A_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenLSTM,clothiness,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_B_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenLSTM,clothiness,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_C_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenLSTM,clothiness,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_A_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenLSTM,clothiness,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_B_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenLSTM,clothiness,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_C_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenLSTM,clothiness,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_A_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
clothiness,0.8859917520287349,-0.0772072072072072,0.6772072072072072,0.6,DEITFrozenLSTM,clothiness,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_B_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenLSTM,clothiness,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_C_clothiness_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenMLP,clothiness,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_A_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
clothiness,0.8416921644272981,-0.10720720720720722,0.6772072072072072,0.57,DEITFrozenMLP,clothiness,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_B_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenMLP,clothiness,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_C_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenMLP,clothiness,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_A_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
clothiness,0.8859917520287349,-0.0772072072072072,0.6772072072072072,0.6,DEITFrozenMLP,clothiness,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_B_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenMLP,clothiness,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_clothiness_readout_C_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
clothiness,0.967207662631369,-0.022207207207207147,0.6772072072072072,0.655,DEITFrozenMLP,clothiness,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_A_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
clothiness,0.8859917520287349,-0.0772072072072072,0.6772072072072072,0.6,DEITFrozenMLP,clothiness,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_B_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
clothiness,0.8638419582280165,-0.09220720720720721,0.6772072072072072,0.585,DEITFrozenMLP,clothiness,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_clothiness_readout_C_clothiness_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
clothiness,0.9081415458294533,-0.06220720720720718,0.6772072072072072,0.615,DPI,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_clothiness_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,all,same
clothiness,0.9229080750299322,-0.052207207207207174,0.6772072072072072,0.625,DPI,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,clothiness,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_clothiness_readout_B_clothiness_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,same,same
clothiness,0.6349607556205934,-0.24720720720720718,0.6772072072072072,0.43,DPI,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_clothiness,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_no_clothiness_readout_B_clothiness_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,all_but_this,same
clothiness,1.1124118664360783,0.07612612612612613,0.6772072072072072,0.7533333333333333,FitVid,clothiness,A,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_A_clothiness_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
clothiness,0.9155248104296927,-0.05720720720720718,0.6772072072072072,0.62,FitVid,clothiness,B,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_B_clothiness_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
clothiness,0.8466143408274579,-0.10387387387387381,0.6772072072072072,0.5733333333333334,FitVid,clothiness,C,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_C_clothiness_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
clothiness,0.9598243980311295,-0.02720720720720715,0.6772072072072072,0.65,GNS-ransac,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_clothiness_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all,same
clothiness,1.0558068378342425,0.037792792792792795,0.6772072072072072,0.715,GNS-ransac,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,clothiness,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_clothiness_readout_B_clothiness_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,same,same
clothiness,0.8859917520287349,-0.0772072072072072,0.6772072072072072,0.6,GNS-ransac,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_clothiness,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_no_clothiness_readout_B_clothiness_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all_but_this,same
clothiness,0.9598243980311295,-0.02720720720720715,0.6772072072072072,0.65,GNS,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_clothiness_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all,same
clothiness,1.0558068378342425,0.037792792792792795,0.6772072072072072,0.715,GNS,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,clothiness,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_clothiness_readout_B_clothiness_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,same,same
clothiness,0.8859917520287349,-0.0772072072072072,0.6772072072072072,0.6,GNS,clothiness,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_clothiness,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_no_clothiness_readout_B_clothiness_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all_but_this,same
clothiness,0.8490754290275375,-0.10220720720720722,0.6772072072072072,0.575,OP3,clothiness,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_A_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.7383264600239458,-0.17720720720720717,0.6772072072072072,0.5,OP3,clothiness,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_B_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.7973925768258615,-0.13720720720720714,0.6772072072072072,0.54,OP3,clothiness,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_C_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
clothiness,0.8786084874284954,-0.0822072072072072,0.6772072072072072,0.595,OP3,clothiness,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,clothiness,0.0,Image Reconstruction,clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_clothiness_Image Reconstruction_0_clothiness_readout_A_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
clothiness,0.8490754290275375,-0.10220720720720722,0.6772072072072072,0.575,OP3,clothiness,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,clothiness,0.0,Image Reconstruction,clothiness,0,OP3_OP3 encoder_0.0_Image Reconstruction_clothiness_Image Reconstruction_0_clothiness_readout_B_clothiness_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
