scenario,Model,n,empirical_stat,ci_lower,mean,ci_upper
clothiness,CSWM,9,0.5499720826353992,0.4955998743718593,0.5500848262263058,0.6050287150035893
clothiness,DEITFrozenLSTM,9,0.6080402010050251,0.5856498401096392,0.6079250898518156,0.6331658291457287
clothiness,DEITFrozenMLP,9,0.6080402010050251,0.5859296482412061,0.6081386746369114,0.6310143152738482
clothiness,DPI,3,0.5561139028475712,0.4321608040201005,0.5565228327292575,0.6231155778894473
clothiness,GNS,3,0.6532663316582915,0.5979899497487438,0.6527199204477103,0.7135678391959799
clothiness,GNS-ransac,3,0.6532663316582915,0.5979899497487438,0.6538856983329345,0.7135678391959799
clothiness,human,1,0.6781333333333334,0.6781333333333334,0.6781333333333334,0.6781333333333334
clothiness,OP3,9,0.5477386934673367,0.5225951184493899,0.5477257374268422,0.5703607322325914
clothiness,RPIN,36,0.5963149078726968,0.5851455860864607,0.5965623321946558,0.6079145728643216
clothiness,SVG,48,0.5447433928903778,0.53224806966328,0.5451049379715276,0.5589734311583912
clothiness,VGGFrozenLSTM,9,0.5991066443327749,0.5706239530988274,0.5998995976147111,0.629396984924623
clothiness,VGGFrozenMLP,9,0.6002233389168062,0.5718592964824121,0.6001598377994246,0.6298576214405359
collision,CSWM,9,0.5518518518518518,0.5282378472222222,0.552173398892774,0.5771006944444445
collision,DEITFrozenLSTM,9,0.6805555555555556,0.6369022817460317,0.6802256936442148,0.7271006944444444
collision,DEITFrozenMLP,9,0.6773148148148148,0.632735615079365,0.6765011873416401,0.7208333333333333
collision,DPI,3,0.85,0.725,0.8498114212782714,0.9458333333333333
collision,GNS,3,0.85,0.8041666666666667,0.8498607359610512,0.9125
collision,GNS-ransac,3,0.8416666666666667,0.8083333333333333,0.8424799516187825,0.9083333333333333
collision,human,1,0.8085106382978725,0.8085106382978725,0.8085106382978725,0.8085106382978725
collision,OP3,9,0.5111111111111111,0.5008333333333334,0.5110980342611501,0.5216666666666666
collision,RPIN,36,0.6453703703703704,0.6173867953431372,0.6450534150784929,0.6741736111111112
collision,SVG,48,0.5965856481481482,0.5802296278781934,0.5963455662998081,0.6123877728174603
collision,VGGFrozenLSTM,9,0.6513888888888889,0.6055555555555555,0.6500103926644389,0.6990906084656084
collision,VGGFrozenMLP,9,0.6509259259259259,0.6083333333333334,0.6513885126008573,0.7
containment,CSWM,9,0.5566395663956639,0.5226442121564073,0.555662119883481,0.5926829268292683
containment,DEITFrozenLSTM,9,0.6688346883468834,0.6536463414634146,0.66833442824027,0.6837439024390244
containment,DEITFrozenMLP,9,0.6644986449864498,0.6448780487804878,0.6643970409748347,0.683760162601626
containment,DPI,3,0.7105691056910569,0.697560975609756,0.7104160140593699,0.7170731707317073
containment,GNS,3,0.6520325203252032,0.6195121951219512,0.6504105788656926,0.7024390243902439
containment,GNS-ransac,3,0.6829268292682927,0.5121951219512195,0.6850469750205139,0.775609756097561
containment,human,1,0.766987951807229,0.766987951807229,0.766987951807229,0.766987951807229
containment,OP3,9,0.4991869918699187,0.4878048780487805,0.49907153670787835,0.5094163763066202
containment,RPIN,36,0.6014433551198257,0.5763071895424837,0.6017993117755785,0.6274611928104575
containment,SVG,48,0.559849537037037,0.5450841273686478,0.5602993638907283,0.576039351851852
containment,VGGFrozenLSTM,9,0.643360433604336,0.5990243902439024,0.644664718835537,0.6927351916376305
containment,VGGFrozenMLP,9,0.6384823848238482,0.5946310975609755,0.6378772951019506,0.6842587899904973
dominoes,CSWM,9,0.470517448856799,0.4318328820697954,0.4707973636303571,0.5189555756117128
dominoes,DEITFrozenLSTM,9,0.6642599277978339,0.5718345914013784,0.6657487388409802,0.7667870036101083
dominoes,DEITFrozenMLP,9,0.6642599277978339,0.5716004813477737,0.6621800291741141,0.7569193742478941
dominoes,DPI,3,0.7148014440433212,0.47653429602888087,0.7185882642103897,0.8411552346570397
dominoes,GNS,3,0.6040914560770156,0.47653429602888087,0.6045184949878848,0.8592057761732852
dominoes,GNS-ransac,3,0.5908543922984356,0.47653429602888087,0.592866851096436,0.8194945848375451
dominoes,human,1,0.6927906976744185,0.6927906976744185,0.6927906976744185,0.6927906976744185
dominoes,OP3,9,0.4701163257119936,0.457280385078219,0.47034723564786557,0.48539957335083683
dominoes,RPIN,36,0.6248993558776168,0.6103202659417144,0.6251923565937756,0.6414219261337073
dominoes,SVG,48,0.5375771604938272,0.5120541406977577,0.5372584656280089,0.5653574909495962
dominoes,VGGFrozenLSTM,9,0.6032892097874047,0.5126353790613718,0.6039587890826051,0.6997593261131168
dominoes,VGGFrozenMLP,9,0.6012835940633774,0.5054001203369434,0.6010387520262706,0.7004125838060855
drop,CSWM,9,0.5766666666666667,0.5425,0.576884413390531,0.6125208333333334
drop,DEITFrozenLSTM,9,0.6144444444444445,0.5821309523809522,0.6148028150819769,0.65003125
drop,DEITFrozenMLP,9,0.6188888888888889,0.5887375,0.6191996334665754,0.6508541666666667
drop,DPI,3,0.755,0.73,0.7555475538438355,0.77
drop,GNS,3,0.7083333333333333,0.69,0.7085296693261963,0.74
drop,GNS-ransac,3,0.7116666666666667,0.7,0.7116870577502776,0.735
drop,human,1,0.7436559139784947,0.7436559139784947,0.7436559139784947,0.7436559139784947
drop,OP3,9,0.5255555555555556,0.5125,0.5254936325348198,0.540503125
drop,RPIN,36,0.5508333333333334,0.5381406746031746,0.5506584079087036,0.564031813063063
drop,SVG,48,0.5334375,0.5197854777197912,0.5334038231780347,0.5481383689839572
drop,VGGFrozenLSTM,9,0.6027777777777777,0.5721428571428572,0.6032128995440404,0.6375056818181818
drop,VGGFrozenMLP,9,0.6061111111111112,0.5766666666666667,0.6058840404524096,0.6385758928571428
linking,CSWM,9,0.6265582655826558,0.6034649632210607,0.6267282926144475,0.6487804878048781
linking,DEITFrozenLSTM,9,0.591869918699187,0.5495934959349594,0.5921848437959257,0.6390465631929046
linking,DEITFrozenMLP,9,0.5902439024390245,0.5463414634146342,0.5895344204611744,0.6329398954703833
linking,DPI,3,0.6569105691056911,0.6146341463414634,0.6568505222778052,0.6829268292682927
linking,GNS,3,0.7300813008130081,0.7073170731707317,0.7302945992627239,0.7560975609756098
linking,GNS-ransac,3,0.7252032520325203,0.7170731707317073,0.7250069768782794,0.7365853658536585
linking,human,1,0.6431818181818181,0.6431818181818181,0.6431818181818181,0.6431818181818181
linking,OP3,9,0.5452574525745257,0.5400696864111498,0.5453972776497752,0.551219512195122
linking,RPIN,36,0.596677559912854,0.5800595238095239,0.5964199589603627,0.6142160576351753
linking,SVG,48,0.5437962962962963,0.5297331664459892,0.5441601131373418,0.5579861532838506
linking,VGGFrozenLSTM,9,0.6178861788617886,0.5834024390243903,0.6180367833316767,0.6571428571428571
linking,VGGFrozenMLP,9,0.6140921409214092,0.5810934035476718,0.6150432320496086,0.6492331855136733
rollingsliding,CSWM,9,0.6087369420702754,0.5868803418803418,0.6092045075148582,0.6324786324786325
rollingsliding,DEITFrozenLSTM,9,0.6163342830009496,0.5965811965811966,0.6163984476992376,0.6381766381766382
rollingsliding,DEITFrozenMLP,9,0.6201329534662868,0.6011396011396011,0.6209096262055915,0.6422466422466422
rollingsliding,DPI,3,0.7891737891737892,0.7692307692307693,0.788700972230384,0.8205128205128205
rollingsliding,GNS,3,0.7350427350427351,0.717948717948718,0.7349927070082933,0.7521367521367521
rollingsliding,GNS-ransac,3,0.792022792022792,0.7521367521367521,0.79161253980171,0.8717948717948718
rollingsliding,human,1,0.8829861111111109,0.8829861111111109,0.8829861111111109,0.8829861111111109
rollingsliding,OP3,9,0.5441595441595442,0.5290491452991453,0.5442221925630674,0.558986568986569
rollingsliding,RPIN,36,0.6224637681159421,0.6044689440993789,0.6218640082061625,0.6376156832298137
rollingsliding,SVG,48,0.560937055981813,0.5451517540654706,0.5607826363155461,0.577004521631229
rollingsliding,VGGFrozenLSTM,9,0.5726495726495726,0.5460588793922128,0.5727158036355167,0.6019902319902319
rollingsliding,VGGFrozenMLP,9,0.5726495726495726,0.5482295482295483,0.5728479656756529,0.6001958689458691
towers,CSWM,9,0.6908414690841469,0.6359384339509861,0.6919010485639714,0.7484335774058578
towers,DEITFrozenLSTM,9,0.6871222687122269,0.6373779637377964,0.688310599750195,0.7385138397167685
towers,DEITFrozenMLP,9,0.6861924686192469,0.6359832635983264,0.6860463326792067,0.7364156206415621
towers,DPI,3,0.6262203626220363,0.4769874476987448,0.6267193052811207,0.7112970711297071
towers,GNS,3,0.694560669456067,0.6736401673640168,0.6950791229728704,0.7112970711297071
towers,GNS-ransac,3,0.6861924686192469,0.6192468619246861,0.6847725957152295,0.7322175732217573
towers,human,1,0.7631372549019607,0.7631372549019607,0.7631372549019607,0.7631372549019607
towers,OP3,9,0.5160390516039052,0.5044754931261208,0.5158787370970316,0.5289412731619846
towers,RPIN,36,0.6201766620176662,0.5911783090111236,0.6200308347069358,0.6507071808668641
towers,SVG,48,0.5961941532289659,0.5740687062996317,0.5950930629344854,0.619457664495392
towers,VGGFrozenLSTM,9,0.6745699674569967,0.6414524805738195,0.6749866442091236,0.7113051174766656
towers,VGGFrozenMLP,9,0.6694560669456067,0.6310983263598327,0.6690979635173369,0.7078277545327755
