scenario,modelID,corr_lb,corr_med,corr_ub
clothiness,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_clothiness,0.29316723503209446,0.41565515142419285,0.5684033821208497
clothiness,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_clothiness,0.3471313047470198,0.47640766309149357,0.686876676769867
clothiness,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_clothiness,0.3343329054246036,0.4659009593234041,0.64579702947196
clothiness,CSWM_CSWM encoder_Contrastive_clothiness_CSWM dynamics_Contrastive_clothiness_readout_A_clothiness,0.38764109413665687,0.47392324062285673,0.595208877390176
clothiness,CSWM_CSWM encoder_Contrastive_clothiness_CSWM dynamics_Contrastive_clothiness_readout_B_clothiness,0.41203174753952176,0.5397518607954741,0.6740678187746288
clothiness,CSWM_CSWM encoder_Contrastive_clothiness_CSWM dynamics_Contrastive_clothiness_readout_C_clothiness,0.4628332406696014,0.5979364250398982,0.7457119919978185
collision,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_collision,0.2788780937429587,0.3313814807359603,0.3992823678732114
collision,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_collision,0.2769904904888821,0.35362803061582015,0.435270299433886
collision,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_collision,0.28237574321922787,0.3526615650612565,0.435270299433886
collision,CSWM_CSWM encoder_Contrastive_collision_CSWM dynamics_Contrastive_collision_readout_A_collision,0.31167284908110415,0.3929134369420614,0.47036021945621903
collision,CSWM_CSWM encoder_Contrastive_collision_CSWM dynamics_Contrastive_collision_readout_B_collision,0.32737002407749427,0.40601930405893216,0.47297698148982453
collision,CSWM_CSWM encoder_Contrastive_collision_CSWM dynamics_Contrastive_collision_readout_C_collision,0.35486915363690374,0.4336180518054195,0.5082353039404273
containment,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_containment,0.2171025815980478,0.2928230728104838,0.3960933631245533
containment,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_containment,0.22739054217222265,0.3121857277662282,0.4079097313836354
containment,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_containment,0.223721972794924,0.2945413971360423,0.39689879843228926
containment,CSWM_CSWM encoder_Contrastive_containment_CSWM dynamics_Contrastive_containment_readout_A_containment,0.32800782651108484,0.4025974025974026,0.47570283808254565
containment,CSWM_CSWM encoder_Contrastive_containment_CSWM dynamics_Contrastive_containment_readout_B_containment,0.2992030477586194,0.3515589100372133,0.43146421816778774
containment,CSWM_CSWM encoder_Contrastive_containment_CSWM dynamics_Contrastive_containment_readout_C_containment,0.3196049162879383,0.39258808656267186,0.46670597200358194
dominoes,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_dominoes,0.3548649724289265,0.4555437229626263,0.6427849746695695
dominoes,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_dominoes,0.3756409994265578,0.4791432563261935,0.6602567031213366
dominoes,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_dominoes,0.36698324295451074,0.47409372055455845,0.6381176205507539
dominoes,CSWM_CSWM encoder_Contrastive_dominoes_CSWM dynamics_Contrastive_dominoes_readout_A_dominoes,0.33934993706918404,0.4279439357584218,0.5822637107608268
dominoes,CSWM_CSWM encoder_Contrastive_dominoes_CSWM dynamics_Contrastive_dominoes_readout_B_dominoes,0.3789780724992489,0.48069545385947804,0.6882809818094474
dominoes,CSWM_CSWM encoder_Contrastive_dominoes_CSWM dynamics_Contrastive_dominoes_readout_C_dominoes,0.35443823886211917,0.4547769112772145,0.64783859825713
drop,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_drop,0.25858152546736657,0.30808819549590966,0.4175377056500022
drop,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_drop,0.36169191205234996,0.4333902573566484,0.5068969126282042
drop,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_drop,0.33565457724230124,0.3971379751260764,0.4752058107106234
drop,CSWM_CSWM encoder_Contrastive_drop_CSWM dynamics_Contrastive_drop_readout_A_drop,0.28988302647103326,0.33950735406117294,0.43376384250842126
drop,CSWM_CSWM encoder_Contrastive_drop_CSWM dynamics_Contrastive_drop_readout_B_drop,0.3231751026426595,0.38596311787036974,0.48224783044288816
drop,CSWM_CSWM encoder_Contrastive_drop_CSWM dynamics_Contrastive_drop_readout_C_drop,0.2928051839805238,0.357376917375225,0.4384477431385354
linking,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_linking,0.28929155823615654,0.4267199474641173,0.6279068513628949
linking,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_linking,0.2998758506887696,0.45250263087403003,0.6419797751089253
linking,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_linking,0.30938415080009546,0.44593693830801145,0.6209560327600374
linking,CSWM_CSWM encoder_Contrastive_linking_CSWM dynamics_Contrastive_linking_readout_A_linking,0.3082242824353964,0.4309677729783162,0.6665685018080564
linking,CSWM_CSWM encoder_Contrastive_linking_CSWM dynamics_Contrastive_linking_readout_B_linking,0.27768685657272474,0.40478030398804543,0.6212971675452099
linking,CSWM_CSWM encoder_Contrastive_linking_CSWM dynamics_Contrastive_linking_readout_C_linking,0.29780603967046393,0.4291367928749984,0.6622480540512955
rollingsliding,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_A_rollingsliding,0.342300597337076,0.40279287784787265,0.5153354372000989
rollingsliding,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_B_rollingsliding,0.3412971809921246,0.39640350223752985,0.4932417808835087
rollingsliding,CSWM_CSWM encoder_Contrastive_all_CSWM dynamics_Contrastive_all_readout_C_rollingsliding,0.31522276913089076,0.37560751855051583,0.45229253500076594
rollingsliding,CSWM_CSWM encoder_Contrastive_rollingsliding_CSWM dynamics_Contrastive_rollingsliding_readout_A_rollingsliding,0.34217374586428345,0.4105359678123695,0.5080568228114426
rollingsliding,CSWM_CSWM encoder_Contrastive_rollingsliding_CSWM dynamics_Contrastive_rollingsliding_readout_B_rollingsliding,0.36311600179375403,0.42278036782283723,0.514018103012641
