scenario,modelID,RMSE,pearsons_r,p_pearsons_r,num_datapoints,Model,Readout Train Data,Readout Type,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed,ModelID,Model Kind,Visual encoder architecture,Dynamics model architecture,ObjectCentric,Supervised,SelfSupervisedLossSelfSupervisedLoss,Encoder Training Dataset Type,Dynamics Training Dataset Type,Readout Train Data Type
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_A_clothiness_VGGFrozenMLP_results.csv,0.048328822566026615,0.1442657760719288,0.07919910391290559,149,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_B_clothiness_VGGFrozenMLP_results.csv,0.045388472597867394,0.04209678481426345,0.6102229761719651,149,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_C_clothiness_VGGFrozenMLP_results.csv,0.04544838515873857,0.04069833531491117,0.6221490302542707,149,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_all_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,0.04798402192953106,0.14178316954814327,0.08455752838315736,149,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,0.04774934491928471,0.006255316831704291,0.9396469914455403,149,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,0.04548151251436832,0.021087886715670915,0.7985138075677306,149,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,0.04324578387021911,0.3375137303504189,2.560751912905178e-05,149,VGGFrozenMLP,clothiness,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_A_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,0.045252208651406944,0.07038091623189491,0.39369720931281743,149,VGGFrozenMLP,clothiness,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_B_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,0.04642381262423629,0.0684825659825848,0.4066117262958716,149,VGGFrozenMLP,clothiness,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,clothiness,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_clothiness_readout_C_clothiness_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
clothiness,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_A_clothiness_per_example_rpin.csv,0.045364162514395304,0.30716977485710395,0.00013871483930218227,149,RPIN,clothiness,A,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_A_clothiness_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
