stim_ID,scenario,stim_url,map_url,hdf5_url,correct,label
test19_0019,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test19_0019_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test19_0019_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test19_0019.hdf5,0.74,False
test13_0011,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0011_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0011_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0011.hdf5,0.82,False
test13_0010,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0010_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0010_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0010.hdf5,0.71,True
test13_0009,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0009_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0009_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0009.hdf5,0.97,False
test13_0007,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0007_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0007_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0007.hdf5,0.51,True
test13_0006,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0006_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0006_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0006.hdf5,0.57,True
test13_0004,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0004_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0004_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0004.hdf5,0.24,True
test13_0002,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0002_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0002_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0002.hdf5,0.96,False
test13_0001,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0001_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0001_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0001.hdf5,0.81,False
test13_0000,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0000_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0000_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test13_0000.hdf5,0.86,False
test12_0019,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0019_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0019_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0019.hdf5,0.39,True
test12_0018,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0018_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0018_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0018.hdf5,0.61,False
test12_0017,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0017_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0017_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0017.hdf5,0.91,True
test12_0014,drape,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0014_img.mp4,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0014_map.png,https://human-physics-benchmarking-clothiness-pilot.s3.amazonaws.com/test12_0014.hdf5,0.84,True
